interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,37.83,37.95,0.0,-0.12
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,37.4,37.64,0.0,-0.24
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,48.5,48.71,0.0,-0.21
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,54.38,54.57,0.0,-0.19
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,50.15,50.3,0.0,-0.15
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,44.85,45.08,0.0,-0.23
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,43.76,44.0,0.0,-0.24
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,43.38,43.32,0.0,0.06
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,37.53,37.55,0.0,-0.02
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,41.11,40.83,0.0,0.28
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,41.78,41.45,0.0,0.33
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,37.49,37.18,0.0,0.31
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,36.57,36.28,0.0,0.29
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,35.49,35.2,0.0,0.29
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,36.75,36.44,0.0,0.31
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,47.13,46.72,0.0,0.41
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,49.27,48.98,0.0,0.29
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,60.92,61.17,0.0,-0.25
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,59.14,59.44,0.0,-0.3
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,51.82,52.08,0.0,-0.26
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,54.7,54.84,0.0,-0.14
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,52.73,52.79,0.0,-0.06
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,52.01,52.03,0.0,-0.02
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,58.85,58.92,0.0,-0.07
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,61.85,62.19,0.0,-0.34
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,61.77,62.43,0.0,-0.66
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,68.63,69.29,0.0,-0.66
2025-01-02 22:00:00+00:00,2025-01-02 23:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,69.14,69.76,0.0,-0.62
2025-01-02 23:00:00+00:00,2025-01-03 00:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,69.0,69.6,0.02,-0.62
2025-01-03 00:00:00+00:00,2025-01-03 01:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,69.04,69.71,0.02,-0.69
2025-01-03 01:00:00+00:00,2025-01-03 02:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,68.68,69.37,0.0,-0.69
2025-01-03 02:00:00+00:00,2025-01-03 03:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,63.4,63.84,0.0,-0.44
2025-01-03 03:00:00+00:00,2025-01-03 04:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,55.1,55.19,0.0,-0.09
2025-01-03 04:00:00+00:00,2025-01-03 05:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,58.29,58.12,0.01,0.16
2025-01-03 05:00:00+00:00,2025-01-03 06:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,58.69,58.57,0.04,0.08
2025-01-03 06:00:00+00:00,2025-01-03 07:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,59.93,59.82,0.04,0.07
2025-01-03 07:00:00+00:00,2025-01-03 08:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,54.29,54.27,0.03,-0.01
2025-01-03 08:00:00+00:00,2025-01-03 09:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,53.83,53.8,0.03,0.0
2025-01-03 09:00:00+00:00,2025-01-03 10:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,58.43,58.32,0.04,0.07
2025-01-03 10:00:00+00:00,2025-01-03 11:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,69.31,69.27,0.06,-0.02
2025-01-03 11:00:00+00:00,2025-01-03 12:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,69.79,69.67,0.05,0.07
2025-01-03 12:00:00+00:00,2025-01-03 13:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,75.71,75.39,0.04,0.28
2025-01-03 13:00:00+00:00,2025-01-03 14:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,70.12,70.04,0.03,0.05
2025-01-03 14:00:00+00:00,2025-01-03 15:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,69.37,69.21,0.03,0.13
2025-01-03 15:00:00+00:00,2025-01-03 16:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,69.99,69.47,0.03,0.49
2025-01-03 16:00:00+00:00,2025-01-03 17:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,70.5,69.67,0.03,0.8
2025-01-03 17:00:00+00:00,2025-01-03 18:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,70.56,69.78,0.04,0.74
2025-01-03 18:00:00+00:00,2025-01-03 19:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,70.75,70.0,0.02,0.73
2025-01-03 19:00:00+00:00,2025-01-03 20:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,75.0,74.37,0.01,0.62
2025-01-03 20:00:00+00:00,2025-01-03 21:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,84.91,83.96,0.03,0.92
2025-01-03 21:00:00+00:00,2025-01-03 22:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,90.37,89.43,0.03,0.91
2025-01-03 22:00:00+00:00,2025-01-03 23:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,105.7,104.53,0.04,1.13
2025-01-03 23:00:00+00:00,2025-01-04 00:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,94.51,93.55,0.01,0.95
2025-01-04 00:00:00+00:00,2025-01-04 01:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,84.72,83.9,0.01,0.81
2025-01-04 01:00:00+00:00,2025-01-04 02:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,82.96,82.22,0.01,0.73
2025-01-04 02:00:00+00:00,2025-01-04 03:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,78.47,77.56,0.0,0.91
2025-01-04 03:00:00+00:00,2025-01-04 04:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,78.74,77.25,0.0,1.49
2025-01-04 04:00:00+00:00,2025-01-04 05:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,76.21,74.96,0.0,1.25
2025-01-04 05:00:00+00:00,2025-01-04 06:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,83.47,82.3,0.0,1.17
2025-01-04 06:00:00+00:00,2025-01-04 07:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,82.81,81.72,0.0,1.09
2025-01-04 07:00:00+00:00,2025-01-04 08:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,77.55,76.6,0.0,0.95
2025-01-04 08:00:00+00:00,2025-01-04 09:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,82.9,81.87,0.0,1.03
2025-01-04 09:00:00+00:00,2025-01-04 10:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,95.91,94.76,0.0,1.15
2025-01-04 10:00:00+00:00,2025-01-04 11:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,104.37,103.07,0.0,1.3
2025-01-04 11:00:00+00:00,2025-01-04 12:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,73.75,73.65,0.0,0.1
2025-01-04 12:00:00+00:00,2025-01-04 13:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,74.84,74.68,0.0,0.16
2025-01-04 13:00:00+00:00,2025-01-04 14:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,80.21,80.04,0.0,0.17
2025-01-04 14:00:00+00:00,2025-01-04 15:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,77.54,77.4,0.0,0.14
2025-01-04 15:00:00+00:00,2025-01-04 16:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,92.93,92.81,0.0,0.12
2025-01-04 16:00:00+00:00,2025-01-04 17:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,85.99,85.88,0.0,0.11
2025-01-04 17:00:00+00:00,2025-01-04 18:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,84.96,84.8,0.0,0.16
2025-01-04 18:00:00+00:00,2025-01-04 19:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,88.31,88.07,0.0,0.24
2025-01-04 19:00:00+00:00,2025-01-04 20:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,96.44,96.09,0.0,0.35
2025-01-04 20:00:00+00:00,2025-01-04 21:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,102.69,102.44,0.0,0.25
2025-01-04 21:00:00+00:00,2025-01-04 22:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,154.92,154.66,0.0,0.26
2025-01-04 22:00:00+00:00,2025-01-04 23:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,161.72,161.42,0.0,0.3
2025-01-04 23:00:00+00:00,2025-01-05 00:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,138.9,138.67,0.0,0.23
2025-01-05 00:00:00+00:00,2025-01-05 01:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,125.61,125.45,0.01,0.15
2025-01-05 01:00:00+00:00,2025-01-05 02:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,107.39,107.34,0.0,0.05
2025-01-05 02:00:00+00:00,2025-01-05 03:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,101.14,101.03,0.0,0.11
2025-01-05 03:00:00+00:00,2025-01-05 04:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,93.49,93.05,0.0,0.44
2025-01-05 04:00:00+00:00,2025-01-05 05:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,108.96,108.78,0.0,0.18
2025-01-05 05:00:00+00:00,2025-01-05 06:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,103.74,103.76,0.0,-0.02
2025-01-05 06:00:00+00:00,2025-01-05 07:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,95.71,95.78,0.0,-0.07
2025-01-05 07:00:00+00:00,2025-01-05 08:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,90.15,90.18,0.0,-0.03
2025-01-05 08:00:00+00:00,2025-01-05 09:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,100.94,101.02,0.0,-0.08
2025-01-05 09:00:00+00:00,2025-01-05 10:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,102.81,102.91,0.0,-0.1
2025-01-05 10:00:00+00:00,2025-01-05 11:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,103.12,103.18,0.0,-0.06
2025-01-05 11:00:00+00:00,2025-01-05 12:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,102.22,102.43,0.0,-0.21
2025-01-05 12:00:00+00:00,2025-01-05 13:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,102.21,102.37,0.0,-0.16
2025-01-05 13:00:00+00:00,2025-01-05 14:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,106.1,106.15,0.0,-0.05
2025-01-05 14:00:00+00:00,2025-01-05 15:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,110.28,110.01,0.0,0.27
2025-01-05 15:00:00+00:00,2025-01-05 16:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,115.44,115.06,0.0,0.38
2025-01-05 16:00:00+00:00,2025-01-05 17:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,98.79,98.37,0.0,0.42
2025-01-05 17:00:00+00:00,2025-01-05 18:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,99.53,99.06,0.0,0.47
2025-01-05 18:00:00+00:00,2025-01-05 19:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,98.09,97.52,0.0,0.57
2025-01-05 19:00:00+00:00,2025-01-05 20:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,105.43,104.76,0.0,0.67
2025-01-05 20:00:00+00:00,2025-01-05 21:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,106.42,106.15,0.0,0.27
2025-01-05 21:00:00+00:00,2025-01-05 22:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,147.19,146.53,0.0,0.66
2025-01-05 22:00:00+00:00,2025-01-05 23:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,159.14,158.38,0.0,0.76
2025-01-05 23:00:00+00:00,2025-01-06 00:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,158.37,157.55,0.0,0.82
2025-01-06 00:00:00+00:00,2025-01-06 01:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,145.23,144.6,0.0,0.63
2025-01-06 01:00:00+00:00,2025-01-06 02:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,124.58,124.13,0.0,0.45
2025-01-06 02:00:00+00:00,2025-01-06 03:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,106.14,105.74,0.0,0.4
2025-01-06 03:00:00+00:00,2025-01-06 04:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,93.23,92.85,0.0,0.38
2025-01-06 04:00:00+00:00,2025-01-06 05:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,94.63,94.32,0.0,0.31
2025-01-06 05:00:00+00:00,2025-01-06 06:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,96.85,96.42,0.0,0.43
2025-01-06 06:00:00+00:00,2025-01-06 07:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,97.5,97.05,0.0,0.45
2025-01-06 07:00:00+00:00,2025-01-06 08:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,95.85,95.49,0.0,0.36
2025-01-06 08:00:00+00:00,2025-01-06 09:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,97.53,97.13,0.0,0.4
2025-01-06 09:00:00+00:00,2025-01-06 10:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,97.7,97.34,0.0,0.36
2025-01-06 10:00:00+00:00,2025-01-06 11:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,113.5,113.3,0.0,0.2
2025-01-06 11:00:00+00:00,2025-01-06 12:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,144.98,144.39,0.0,0.59
2025-01-06 12:00:00+00:00,2025-01-06 13:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,173.02,172.45,0.0,0.57
2025-01-06 13:00:00+00:00,2025-01-06 14:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,175.15,165.09,9.63,0.43
2025-01-06 14:00:00+00:00,2025-01-06 15:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,156.41,150.41,5.61,0.39
2025-01-06 15:00:00+00:00,2025-01-06 16:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,163.3,160.91,2.29,0.1
2025-01-06 16:00:00+00:00,2025-01-06 17:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,162.77,160.54,2.22,0.01
2025-01-06 17:00:00+00:00,2025-01-06 18:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,150.55,149.04,1.43,0.08
2025-01-06 18:00:00+00:00,2025-01-06 19:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,146.31,145.25,0.96,0.1
2025-01-06 19:00:00+00:00,2025-01-06 20:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,145.77,143.51,1.94,0.32
2025-01-06 20:00:00+00:00,2025-01-06 21:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,162.69,159.62,2.71,0.36
2025-01-06 21:00:00+00:00,2025-01-06 22:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,186.78,177.79,8.71,0.28
2025-01-06 22:00:00+00:00,2025-01-06 23:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,231.8,214.81,16.82,0.17
2025-01-06 23:00:00+00:00,2025-01-07 00:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,211.72,197.13,14.36,0.23
2025-01-07 00:00:00+00:00,2025-01-07 01:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,185.99,178.78,6.73,0.48
2025-01-07 01:00:00+00:00,2025-01-07 02:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,161.57,156.66,4.74,0.17
2025-01-07 02:00:00+00:00,2025-01-07 03:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,157.95,150.19,7.79,-0.03
2025-01-07 03:00:00+00:00,2025-01-07 04:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,151.98,150.86,0.0,1.12
2025-01-07 04:00:00+00:00,2025-01-07 05:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,132.93,131.58,0.0,1.35
2025-01-07 05:00:00+00:00,2025-01-07 06:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,133.33,131.86,0.0,1.47
2025-01-07 06:00:00+00:00,2025-01-07 07:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,127.71,126.22,0.0,1.49
2025-01-07 07:00:00+00:00,2025-01-07 08:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,129.52,128.06,0.0,1.46
2025-01-07 08:00:00+00:00,2025-01-07 09:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,128.77,127.37,0.0,1.4
2025-01-07 09:00:00+00:00,2025-01-07 10:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,142.03,140.56,0.0,1.47
2025-01-07 10:00:00+00:00,2025-01-07 11:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,157.62,156.29,0.0,1.33
2025-01-07 11:00:00+00:00,2025-01-07 12:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,182.22,182.09,0.0,0.13
2025-01-07 12:00:00+00:00,2025-01-07 13:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,205.5,205.43,0.0,0.07
2025-01-07 13:00:00+00:00,2025-01-07 14:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,182.18,182.08,0.0,0.1
2025-01-07 14:00:00+00:00,2025-01-07 15:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,141.76,141.58,0.0,0.18
2025-01-07 15:00:00+00:00,2025-01-07 16:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,131.56,129.84,1.33,0.39
2025-01-07 16:00:00+00:00,2025-01-07 17:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,129.85,128.43,1.12,0.3
2025-01-07 17:00:00+00:00,2025-01-07 18:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,125.09,124.29,0.55,0.25
2025-01-07 18:00:00+00:00,2025-01-07 19:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,120.51,120.29,0.0,0.22
2025-01-07 19:00:00+00:00,2025-01-07 20:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,127.54,126.08,0.86,0.6
2025-01-07 20:00:00+00:00,2025-01-07 21:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,135.09,132.6,1.76,0.73
2025-01-07 21:00:00+00:00,2025-01-07 22:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,156.18,156.06,0.0,0.12
2025-01-07 22:00:00+00:00,2025-01-07 23:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,168.42,168.28,0.02,0.12
2025-01-07 23:00:00+00:00,2025-01-08 00:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,160.01,159.98,0.02,0.01
2025-01-08 00:00:00+00:00,2025-01-08 01:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,149.03,148.95,0.0,0.08
2025-01-08 01:00:00+00:00,2025-01-08 02:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,133.11,133.07,0.0,0.04
2025-01-08 02:00:00+00:00,2025-01-08 03:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,133.93,132.1,0.0,1.83
2025-01-08 03:00:00+00:00,2025-01-08 04:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,126.8,125.34,0.0,1.46
2025-01-08 04:00:00+00:00,2025-01-08 05:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,126.18,124.75,0.0,1.43
2025-01-08 05:00:00+00:00,2025-01-08 06:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,141.72,140.14,0.0,1.58
2025-01-08 06:00:00+00:00,2025-01-08 07:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,135.89,134.27,0.0,1.62
2025-01-08 07:00:00+00:00,2025-01-08 08:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,125.91,124.33,0.0,1.58
2025-01-08 08:00:00+00:00,2025-01-08 09:00:00+00:00,DAY_AHEAD_HOURLY,.Z.RHODEISLAND,LOAD ZONE,122.33,120.8,0.0,1.53
